;   Agencia Tributaria;;;;;;
;;;;;;;
Mod 211;;Diseño de registro (página 1);;;;;
vers. 3.0;;IRNR. Retención en la adquisición de bienes inmuebles a no residentes sin establecimiento permanente;;;;;
Nº;Posic.;Lon;Tipo;Descripción;Validación;Contenido;
71;1218;30;An;Datos del transmitente no residente. Lugar de nacimiento. Ciudad;;;
72;1248;2;An;Datos del transmitente no residente. Lugar de nacimiento. Código País;;;
73;1250;2;An;Datos del transmitente no residente. Residencia fiscal. Código País;;;
74;1252;50;An;Datos del transmitente no residente. Dirección en el país de residencia. Domicilio;;;
75;1302;40;An;Datos del transmitente no residente. Dirección en el país de residencia. Datos complementarios del domicilio;;;
76;1342;30;An;Datos del transmitente no residente. Dirección en el país de residencia. Población/Ciudad;;;
77;1372;10;An;Datos del transmitente no residente. Dirección en el país de residencia. Código Postal (ZIP);;;
78;1382;30;An;Datos del transmitente no residente. Dirección en el país de residencia. Provincia/Región/Estado;;;
79;1412;2;An;Datos del transmitente no residente. Dirección en el país de residencia. Código País;;;
80;1414;5;An;Descripción del inmueble. Tipo de Vía;;;
81;1419;50;An;Descripción del inmueble. Nombre de la Vía Pública;;;
82;1469;3;An;Descripción del inmueble. Tipo de numeración;;;
83;1472;5;Num;Descripción del inmueble. Número de casa;;;
84;1477;3;An;Descripción del inmueble. Calificador del número;;;
85;1480;3;An;Descripción del inmueble. Bloque;;;
86;1483;3;An;Descripción del inmueble. Portal;;;
87;1486;3;An;Descripción del inmueble. Escalera;;;
88;1489;3;An;Descripción del inmueble. Planta;;;
89;1492;3;An;Descripción del inmueble. Puerta;;;
90;1495;40;An;Descripción del inmueble. Datos complementarios del domicilio;;;
91;1535;30;An;Descripción del inmueble. Localidad/Población (si es distinta del municipio);;;
92;1565;5;Num;Descripción del inmueble. Código Postal;;;
93;1570;30;An;Descripción del inmueble. Nombre del Municipio;;;
94;1600;5;Num;Descripción del inmueble. Código INE del Municipio;;;
95;1605;2;Num;Descripción del inmueble. Provincia;;;
96;1607;20;An;Descripción del inmueble. Referencia catastral;;;
97;1627;1;An;Descripción del inmueble. Doc. Público y Doc. Privado;; P, R o Blanco;
98;1628;100;An;Descripción del inmueble. Notario o fedatario;;;
99;1728;5;Num;Descripción del inmueble. Nº de protocolo;;;
100;1733;17;Num;Liquidación. Importe de la transmisión [01] .;;15 ent. Y 2 dec;
101;1750;5;Num;Liquidación. Porcentaje de retención (%) [02] ;;3 ent. Y 2 dec.;
102;1755;17;Num;Liquidación. Retención/ingreso a cuenta [03] ;;15 ent. Y 2 dec.;
103;1772;17;Num;Liquidación. Resultados a ingresar de anteriores autoliquidaciones [04] ;;15 ent. Y 2 dec.;
104;1789;17;Num;Liquidación. Resultado a ingresar ( [03] - [04] ) [05] ;;15 ent. Y 2 dec.;
105;1806;1;An;Complementaria. Indicador;;X o blanco;
106;1807;13;Num;Complementaria. Nº de justificante de la autoliquidación anterior;;;
107;1820;1;An;Ingreso. Forma de Pago.;;Nota (7);
108;1821;34;An;Código IBAN ;;(solo en predeclaraciones);
109;1855;11;An;Reservado para la Administración;;;
110;1866;100;An;Nombre y apellidos de la persona de contacto;;;
111;1966;15;An;Teléfono fijo de contacto;;;
112;1981;15;An;Teléfono móvil de contacto;;;
113;1996;50;An;Dirección de correo electrónico;;;
114;2046;345;An;Reservado para la Administración ;;En blanco;
115;2391;10;An;Indicador de fin de registro  ;obligatorio;"Constante ""</T211010>""";
Total:;;2400;;;;;
;;;;;;;
;;;;;;;
Notas: ;;;;;;;
"1. El tipo de declaración para la presentación por lotes puede ser:
I (Ingreso en efectivo/adeudo en cuenta)";;;;;;;
2. Para facilitar la incorporación de datos al formulario se espera que el fichero esté localizado en C:\AEAT\ y que su nombre sea 211.txt;;;;;;;
3. Los campos alfanuméricos (An) sólo admiten letras, números y blancos. Deberán estar alineados a la izquierda, rellenando con blancos por la derecha.;;;;;;;
4. Los campos numéricos (Num) sólo admiten números. Los datos numéricos deberán estar alineados a la derecha rellenando con ceros por la izquierda.;;;;;;;
5. Los campos numéricos con signo (N) admiten números más el carácter N . Los datos numéricos deberán estar alineados a la derecha rellenando con ceros por la izquierda.;;;;;;;
6. Los datos numéricos negativos llevarán una N en la primera posición del campo.;;;;;;;
"7. Valores:  ""0"" No consta, ""1"" en Efectivo, ""2"" Adeudo en cuenta (sólo en predeclaraciones)";;;;;;;
