;   Agencia Tributaria;;;;;;;
;;;;;;;;
Mod 211;;Diseño de registro (página 2);;;;;;
vers. 1.0;;IRNR. Retención en la adquisición de bienes inmuebles a no residentes sin establecimiento permanente;;;;;;
Nº;Posic.;Lon;Tipo;Descripción;Validación;Contenido;;
68;1160;30;An;Adquiriente del inmueble. Dirección en el país de residencia. Población/Ciudad;;;;
69;1190;100;An;Adquiriente del inmueble. Dirección en el país de residencia. Correo electrónico;;;;
70;1290;10;An;Adquiriente del inmueble. Dirección en el país de residencia. Código Postal (ZIP);;;;
71;1300;30;An;Adquiriente del inmueble Dirección en el país de residencia Provincia/Región/Estado;;;;
72;1330;2;An;Adquiriente del inmueble. Dirección en el país de residencia. Código País;;;;
73;1332;15;An;Adquiriente del inmueble. Dirección en el país de residencia. Teléfono fi jo;;;;
74;1347;15;An;Adquiriente del inmueble. Dirección en el país de residencia. Teléfono móvil;;;;
75;1362;15;An;Adquiriente del inmueble. Dirección en el país de residencia. N.º de FAX;;;;
76;1377;9;An;Adquiriente del inmueble. NIF;;;;
77;1386;1;An;Adquiriente del inmueble. F/J;; F, J o Blanco;;
78;1387;125;An;Adquiriente del inmueble. Apellidos y nombre, razón social o denominación;;;;
79;1512;15;An;Adquiriente del inmueble. N.I.F. En el país de residencia;;;;
80;1527;1;An;Adquiriente. C/O ;;C, O ó Blanco;;
81;1528;5;Num;Adquiriente. Coef. Part % ;;3 ent. Y 2 dec.;;
82;1533;5;An;Adquiriente del inmueble. Domicilio. Tipo de Vía;;;;
83;1538;50;An;Adquiriente del inmueble. Domicilio. Nombre de la Vía Pública;;;;
84;1588;3;An;Adquiriente del inmueble. Domicilio. Tipo de numeración;;;;
85;1591;5;Num;Adquiriente del inmueble. Domicilio. Número de casa;;;;
86;1596;3;An;Adquiriente del inmueble. Domicilio. Calificador del número;;;;
87;1599;3;An;Adquiriente del inmueble. Domicilio. Bloque;;;;
88;1602;3;An;Adquiriente del inmueble. Domicilio. Portal;;;;
89;1605;3;An;Adquiriente del inmueble. Domicilio. Escalera;;;;
90;1608;3;An;Adquiriente del inmueble. Domicilio. Planta;;;;
91;1611;3;An;Adquiriente del inmueble. Domicilio. Puerta;;;;
92;1614;40;An;Adquiriente del inmueble. Domicilio. Datos complementarios del domicilio;;;;
93;1654;30;An;Adquiriente del inmueble. Domicilio. Localidad / Población (si es distinta del municipio);;;;
94;1684;5;Num;Adquiriente del inmueble. Domicilio. Código Postal;;;;
95;1689;30;An;Adquiriente del inmueble. Domicilio. Nombre del Municipio;;;;
96;1719;5;Num;Adquiriente del inmueble. Domicilio. Código INE del Municipio;;;;
97;1724;2;Num;Adquiriente del inmueble. Domicilio. Provincia;;;;
98;1726;9;Num;Adquiriente del inmueble. Domicilio. Teléfono fi jo;;;;
99;1735;9;Num;Adquiriente del inmueble. Domicilio. Teléfono móvil;;;;
100;1744;9;Num;Adquiriente del inmueble. Domicilio. N.º de FAX;;;;
101;1753;50;An;Adquiriente del inmueble. Dirección en el país de residencia. Domicilio;;;;
102;1803;40;An;Adquiriente del inmueble. Dirección en el país de residencia. Datos complementarios del domicilio;;;;
103;1843;30;An;Adquiriente del inmueble. Dirección en el país de residencia. Población/Ciudad;;;;
104;1873;100;An;Adquiriente del inmueble. Dirección en el país de residencia. Correo electrónico;;;;
105;1973;10;An;Adquiriente del inmueble. Dirección en el país de residencia. Código Postal (ZIP);;;;
106;1983;30;An;Adquiriente del inmueble Dirección en el país de residencia Provincia/Región/Estado;;;;
107;2013;2;An;Adquiriente del inmueble. Dirección en el país de residencia. Código País;;;;
108;2015;15;An;Adquiriente del inmueble. Dirección en el país de residencia. Teléfono fi jo;;;;
109;2030;15;An;Adquiriente del inmueble. Dirección en el país de residencia. Teléfono móvil;;;;
110;2045;15;An;Adquiriente del inmueble. Dirección en el país de residencia. N.º de FAX;;;;
111;2060;131;An;Reservado para la Administración ;;En blanco;;
112;2191;10;An;Indicador de fin de registro ;obligatorio;"Constante ""</T211020>""";;
Total:;;2200;;;;;;
